2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
=184,170,tecnológico de monterrey,MX,Mexico,XL,FC,HI,4,B,51,157,97,28,64,222,2,701+,33,469,12,681,14,618,88,41,66,223=,48
187,185=,university of gothenburg,SE,Sweden,L,FC,VH,4,A,36,239,17,511,56,261,39,349,91,179,81,160,86,104,46,151,98,30=,47
188,203=,universiti teknologi malaysia,MY,Malaysia,L,CO,VH,3,A,47,175,64,124,43,371,34,403,16,651,85,141,59,257,14,631,67,217=,47
=189,152,mcmaster university,CA,Canada,L,FC,VH,5,A,41,210,38,255,75,166,29,444,99,93,60,250,40,376,37,197,70,204=,47
=189,222=,queensland university of technology (qut),AU,Australia,XL,CO,VH,3,A,41,205,38,261,7,701+,65,176,96,141,26,458,69,202,17,502,91,89=,47
=189,210=,universite libre de bruxelles,BE,Belgium,L,FC,VH,5,A,34,249,39,247,3,701+,63,186,97,126,85,144,69,201,36,207,60,249=,47
=192,189,albert-ludwigs-universitaet freiburg,DE,Germany,L,FC,VH,5,A,46,179,20,460,29,531,63,187,69,281,36,371,83,131,25,328,68,213,47
=192,174=,ecole des ponts paristech,FR,France,S,FO,VH,5,A,8,601+,58,142,98,45,81,109,35,458,97,75,6,701+,30,261,19,549=,47
194,194,wuhan university,CN,China (Mainland),XL,FC,VH,4,A,41,204,44,205,13,701+,87,82,41,405,5,701+,48,324,35,218,44,336=,47
195,185=,university of minnesota twin cities,US,United States,XL,FC,VH,5,A,59,127,30,324,31,510,46,291,6,701+,9,701+,86,109,42,172,89,101=,46
196,141=,hokkaido university,JP,Japan,L,FC,VH,5,A,57,134,66,119,76,162,28,451,18,621,14,633,38,392,13,665,31,438=,46
197,174=,indian institute of technology delhi (iitd),IN,India,M,CO,VH,4,A,51,158,76,80,22,630,64,182,2,701+,1,701+,7,701+,33,234,38,382=,46
198,220=,universidad de los andes,CO,Colombia,L,FC,HI,4,B,65,103,96,35,18,701+,6,701+,26,517,2,701+,11,649,96,23,40,362=,46
=199,155=,emory university,US,United States,L,FC,VH,5,B,26,342,16,522,98,50,70,149,37,431,31,409,57,268,24,357,86,115,46
=199,215=,universidad autónoma de madrid,ES,Spain,L,FC,VH,4,A,60,117,58,145,35,464,25,485,8,701+,12,678,80,143,20,428,89,97=,46
=199,205=,waseda university,JP,Japan,XL,CO,VH,5,B,60,118,97,24,24,602,4,701+,28,503,29,436,18,569,66,87,57,268=,46
202,233=,queen's university belfast,UK,United Kingdom,L,FC,VH,5,A,34,258,30,321,28,554,44,307,100,75,99,54,84,124,14,589,91,87,46
=203,237=,king saud university,SA,Saudi Arabia,XL,FC,VH,4,A,37,236,21,435,64,218,32,419,100,83,21,525,89,92,72,67,76,171=,45
=203,237=,university of ottawa,CA,Canada,XL,FC,VH,5,A,27,329,30,328,4,701+,79,116,86,203,76,182,86,111,24,344,55,279=,45
205,228,universität hamburg,DE,Germany,L,FC,VH,5,A,51,160,29,340,17,701+,60,205,42,395,22,512,87,101,27,305,53,292=,45
206,217=,university of otago,NZ,New Zealand,L,FC,VH,5,A,46,178,27,359,11,701+,51,256,100,44,29,428,38,391,45,159,98,22,45
207,214,vrije universiteit amsterdam,NL,Netherlands,XL,FC,VH,5,A,40,217,16,531,24,607,68,156,69,284,40,340,70,195,20,414,89,95=,45
208,220=,university of aberdeen,UK,United Kingdom,L,FC,VH,5,A,30,292,33,302,30,525,42,322,96,144,97,77,73,180,21,408,98,21,45
209,246=,queen's university at kingston,CA,Canada,L,FC,VH,5,A,41,209,57,146,5,701+,45,300,70,278,31,417,23,523,72,68,85,117,45
210,212=,university of twente,NL,Netherlands,M,FO,VH,4,A,21,422,38,254,39,404,65,171,99,94,91,112,68,208,13,687,33,416=,44
211,224=,chulalongkorn university,TH,Thailand,XL,FC,VH,5,A,67,101,50,170,32,498,7,701+,15,668,3,701+,49,318,87,44,86,113=,44
212,256=,loughborough university,UK,United Kingdom,L,CO,VH,4,A,31,283,67,116,24,604,35,392,87,198,64,237,77,162,19,446,63,231,44
213,169,eberhard karls universität tübingen,DE,Germany,L,FC,VH,5,A,46,180,30,325,93,71,20,560,68,289,27,454,90,84,21,393,42,351=,44
214,197=,keio university,JP,Japan,XL,FC,VH,5,B,51,156,94,42,58,246,6,701+,10,701+,9,701+,9,689,80,50,39,366,44
215,260=,tel aviv university,IL,Israel,L,FC,VH,4,A,33,264,24,407,4,701+,100,11,40,410,5,701+,40,382,73,62,38,373=,44
216,212=,tongji university,CN,China (Mainland),XL,FC,VH,5,A,34,251,13,601+,29,534,92,70,57,327,33,396,21,534,18,464,65,225,44
217,202,national yang ming chiao tung university,TW,Taiwan,L,FC,VH,1,A,33,262,68,110,54,286,52,247,19,601,19,566,4,701+,45,160,54,283=,43
218,240=,university of sussex,UK,United Kingdom,L,FC,VH,4,A,23,380,9,601+,15,701+,71,142,96,137,93,100,63,226,31,251,97,35,43
219,243=,università di padova,IT,Italy,XL,FC,VH,5,A,57,133,22,428,8,701+,52,250,13,701+,9,701+,91,73,14,620,95,55,43
=220,210=,universidade estadual de campinas (unicamp),BR,Brazil,XL,FC,VH,4,A,70,90,50,169,13,701+,25,489,12,701+,3,701+,54,294,10,701+,75,177=,43
=220,203=,university of lausanne,CH,Switzerland,L,FO,VH,5,A,29,294,15,545,37,434,65,173,100,77,57,263,48,327,28,290,62,245,43
=222,232,radboud university,NL,Netherlands,L,FC,VH,5,A,29,302,14,585,28,551,75,129,78,236,20,544,79,155,16,533,83,133=,43
=222,181=,university of pittsburgh,US,United States,L,FC,VH,5,A,38,228,15,541,96,56,39,357,7,701+,15,621,81,140,33,232,91,91,43
224,147=,university of rochester,US,United States,M,FC,VH,5,B,22,398,18,477,98,48,52,252,71,269,92,106,31,451,27,308,33,416=,42
225,155=,indian institute of science,IN,India,S,SP,,5,A,42,202,20,454,46,340,100,6,5,701+,2,701+,4,701+,14,621,11,660,42
=226,252,american university of beirut (aub),LB,Lebanon,M,FC,VH,5,B,28,316,42,225,57,254,24,499,68,288,47,310,36,415,89,40,93,70=,42
=226,243=,universidad nacional de colombia,CO,Colombia,XL,FC,HI,5,A,70,91,97,29,6,701+,4,701+,6,701+,2,701+,13,620,30,263,50,309=,42
228,224=,national cheng kung university (ncku),TW,Taiwan,L,FC,VH,4,A,49,164,76,82,33,482,21,544,24,557,16,605,11,653,30,257,78,160=,42
229,340=,friedrich-alexander-universität erlangen-nürnberg,DE,Germany,L,FC,VH,5,A,25,347,21,446,3,701+,96,48,27,511,40,342,75,172,16,541,70,207=,42
=230,150,al-farabi kazakh national university,KZ,Kazakhstan,L,FC,HI,4,A,51,155,75,85,99,38,1,701+,29,497,34,386,12,634,12,701+,5,701+,42
=230,181=,khalifa university of science and technology,AE,United Arab Emirates,S,SP,,2,A,20,448,20,451,87,98,48,281,100,10,75,184,30,459,9,701+,67,220=,42
232,215=,university of göttingen,DE,Germany,L,FC,VH,5,A,47,172,29,338,70,183,18,587,50,361,23,505,92,71,22,379,56,274,41
=233,266,deakin university,AU,Australia,XL,FC,VH,3,A,30,291,26,373,5,701+,67,160,97,130,60,249,51,303,26,312,54,283=,41
=233,177,national tsing hua university,TW,Taiwan,L,CO,VH,4,A,53,147,68,111,28,542,38,363,17,635,20,546,7,701+,16,525,31,444=,41
235,281=,heriot-watt university,UK,United Kingdom,M,CO,VH,4,A,16,537,21,438,19,701+,79,113,100,67,98,66,40,375,21,392,44,342=,41
236,248=,université de paris-cité,FR,France,XL,FO,VH,1,A,32,275,6,601+,9,701+,94,61,19,598,42,336,100,11,12,701+,46,331=,41
=237,205=,dartmouth college,US,United States,M,FC,VH,5,B,21,415,24,398,58,248,79,121,5,701+,34,388,7,701+,72,65,67,217=,41
=237,248=,universitas indonesia,ID,Indonesia,XL,FC,VH,4,A,51,161,73,91,50,309,2,701+,76,249,5,701+,2,701+,59,103,42,351=,41
=239,292,massey university,NZ,New Zealand,M,CO,VH,4,A,30,286,16,528,43,364,23,520,98,111,98,64,65,215,45,157,95,58=,41
=239,201,rheinische friedrich-wilhelms-universität bonn,DE,Germany,L,FC,VH,5,A,52,151,20,458,58,247,22,526,42,397,38,365,91,79,26,319,35,399,41
241,275=,victoria university of wellington,NZ,New Zealand,L,CO,VH,4,A,45,186,26,375,9,701+,32,418,100,88,35,382,38,393,47,149,94,66,41
242,316,la trobe university,AU,Australia,L,CO,VH,4,A,23,388,20,453,7,701+,78,124,94,156,98,57,46,337,14,591,29,460=,40
243,300=,griffith university,AU,Australia,XL,FC,VH,4,A,27,332,16,526,8,701+,66,166,100,70,32,403,73,185,16,539,93,69,40
244,305,university of surrey,UK,United Kingdom,L,CO,VH,4,A,20,428,23,409,23,613,56,230,97,129,88,127,71,192,17,503,58,259=,40
245,253=,university of massachusetts amherst,US,United States,L,CO,VH,5,A,40,218,12,601+,11,701+,58,225,71,271,24,490,52,301,28,292,94,67,40
=246,275=,technical university of darmstadt,DE,Germany,L,FO,VH,5,A,21,417,38,263,6,701+,79,117,63,310,75,188,33,439,34,229,20,545=,40
=246,200,technische universität dresden,DE,Germany,L,FC,VH,5,A,38,231,38,258,91,79,15,639,46,373,35,379,87,98,11,701+,31,438=,40
=248,288=,charles university,CZ,Czech Republic,XL,FC,VH,5,A,46,183,44,210,35,456,9,701+,25,539,51,283,91,77,28,294,84,125,40
=248,280,university of antwerp,BE,Belgium,L,FC,VH,2,A,24,362,12,601+,45,349,49,272,91,177,32,397,90,81,30,268,80,146=,40
250,331,university of waikato,NZ,New Zealand,M,CO,VH,4,A,18,484,13,601+,11,701+,75,128,99,91,73,192,18,568,45,162,80,152=,40
251,222=,the hebrew university of jerusalem,IL,Israel,L,FC,VH,5,A,34,252,29,334,81,135,23,521,55,338,16,600,37,400,78,54,51,301=,39
252,325=,politecnico di torino,IT,Italy,XL,FO,VH,5,A,39,225,45,194,2,701+,58,222,4,701+,47,313,50,313,21,391,57,263=,39
253,274,university of porto,PT,Portugal,XL,FC,VH,5,A,40,214,23,414,11,701+,58,219,7,701+,19,564,94,60,18,473,77,167=,39
254,304,university of macau,MO,Macau SAR,M,FO,VH,3,A,11,601+,14,575,12,701+,97,43,100,18,99,49,11,646,42,177,4,701+,39
255,176,case western reserve university,US,United States,M,FC,VH,4,B,18,486,17,507,83,118,64,185,38,420,68,216,21,537,27,301,35,403=,39
=256,217=,harbin institute of technology,CN,China (Mainland),L,FO,VH,4,A,29,306,15,552,42,378,99,24,9,701+,8,701+,23,517,20,412,15,603=,39
=256,278,maastricht university,NL,Netherlands,L,FO,VH,3,A,23,369,22,422,13,701+,63,193,100,90,100,17,47,333,27,302,14,627=,39
=256,284,university of canterbury | te whare wānanga o waitaha,NZ,New Zealand,L,CO,VH,4,A,34,257,33,299,11,701+,33,414,100,81,35,378,22,529,63,93,97,36=,39
259,251,vrije universiteit brussel (vub),BE,Belgium,L,FC,VH,4,A,23,373,17,512,76,160,22,527,94,158,59,252,88,94,31,244,67,215=,39
260,253=,university of virginia,US,United States,L,FC,VH,5,A,36,243,32,307,57,257,34,401,8,701+,11,700,58,262,69,77,63,232=,39
261,199,vanderbilt university,US,United States,L,FC,VH,5,B,25,348,20,459,100,9,37,377,36,442,35,383,47,332,36,206,51,299=,38
262,284=,university of warsaw,PL,Poland,XL,CO,VH,5,A,49,169,53,150,42,375,6,701+,10,701+,9,701+,62,233,37,204,80,150=,38
263,231,gadjah mada university,ID,Indonesia,XL,FC,HI,4,A,52,152,67,118,54,282,2,701+,39,419,2,701+,2,701+,43,169,47,323=,38
=264,317=,university of colorado boulder,US,United States,XL,CO,VH,5,A,37,237,14,596,33,480,49,269,27,508,6,701+,69,204,31,247,96,40,38
=264,428=,university of witwatersrand,ZA,South Africa,L,FC,VH,5,A,26,341,43,214,11,701+,28,453,80,229,8,701+,92,65,97,21,63,239=,38
=266,197=,ulsan national institute of science and technology (unist),KR,South Korea,S,FO,VH,2,A,15,579,12,601+,84,114,99,25,42,399,11,692,1,701+,8,701+,2,701+,38
=266,335=,university of lisbon,PT,Portugal,XL,FC,VH,5,A,42,201,21,442,13,701+,35,387,9,701+,31,415,97,27,66,85,67,220=,38
=268,320=,linköping university,SE,Sweden,L,CO,VH,3,A,19,470,27,363,35,457,49,277,78,239,30,420,58,260,35,221,87,108=,38
=268,235=,"university of california, irvine",US,United States,XL,FC,VH,4,A,38,230,17,517,15,701+,50,263,57,325,50,299,65,214,11,701+,59,255=,38
=268,335=,university of cologne,DE,Germany,L,FO,VH,5,A,37,235,39,253,19,686,31,427,41,406,31,413,81,141,37,199,57,263=,38
271,270=,indian institute of technology kharagpur (iit-kgp),IN,India,L,FO,VH,4,A,32,272,44,211,12,701+,86,90,3,701+,1,701+,11,659,22,388,18,567=,37
=272,262=,beijing normal university,CN,China (Mainland),L,CO,VH,5,A,38,227,7,601+,26,576,86,87,7,701+,23,496,23,520,12,701+,31,444=,37
=272,279,university of leicester,UK,United Kingdom,L,FC,VH,5,A,21,412,14,576,36,441,45,298,81,226,94,91,76,167,18,468,51,301=,37
274,312=,north carolina state university,US,United States,XL,CO,VH,5,A,28,315,25,384,9,701+,67,162,63,306,15,613,50,317,21,398,65,228=,37
275,306,huazhong university of science and technology,CN,China (Mainland),XL,FC,VH,4,A,23,384,29,332,10,701+,99,16,6,701+,3,701+,45,340,17,504,27,480,37
=276,324,university of milan,IT,Italy,XL,FC,VH,4,A,51,159,13,601+,6,701+,48,284,8,701+,7,701+,59,255,24,345,92,77=,37
=276,325=,university of strathclyde,UK,United Kingdom,L,CO,VH,4,A,26,334,35,281,18,701+,34,405,93,161,67,222,62,235,24,353,59,252=,37
=278,264=,indian institute of technology kanpur (iitk),IN,India,M,CO,VH,4,A,35,247,49,175,14,701+,76,126,2,701+,1,701+,3,701+,21,404,22,524=,37
=278,296=,university of miami,US,United States,L,FC,VH,4,B,20,435,45,198,77,155,19,565,84,215,23,502,55,283,37,198,51,305=,37
280,253=,university of navarra,ES,Spain,L,FC,HI,4,B,29,300,61,130,57,260,15,635,25,531,75,186,29,464,28,282,46,333,37
=281,235=,bandung institute of technology (itb),ID,Indonesia,L,CO,VH,5,A,41,203,66,122,66,208,3,701+,84,213,2,701+,1,701+,36,209,21,533=,37
=281,207,university of bergen,NO,Norway,L,FC,VH,3,A,33,269,5,601+,67,197,31,426,92,171,14,635,69,200,24,358,58,259=,37
283,454=,stellenbosch university,ZA,South Africa,L,FC,VH,5,A,25,351,39,240,3,701+,60,206,20,591,8,701+,92,69,50,132,44,339=,37
284,284=,taylor's university,MY,Malaysia,S,FO,VH,2,C,24,358,83,67,63,225,9,701+,54,342,99,55,4,701+,11,701+,2,701+,36
=285,250,indian institute of technology madras (iitm),IN,India,M,CO,VH,4,A,40,212,56,147,27,563,55,235,3,701+,1,701+,3,701+,26,317,7,701+,36
=285,296=,swinburne university of technology,AU,Australia,L,CO,VH,3,A,13,601+,12,601+,11,701+,90,76,98,114,66,229,24,507,11,701+,26,487,36
=285,262=,the university of arizona,US,United States,XL,FC,VH,5,A,39,226,18,476,73,175,20,562,11,701+,9,701+,88,96,31,245,72,196=,36
=285,307,tianjin university,CN,China (Mainland),L,CO,VH,4,A,19,477,9,601+,35,461,98,31,24,544,27,446,19,555,24,351,26,488,36
289,270=,university of galway,IE,Ireland,L,FC,HI,5,A,26,335,28,341,61,230,14,666,92,170,39,348,46,338,31,249,91,89=,36
290,296=,united arab emirates university,AE,United Arab Emirates,M,FC,VH,3,A,28,310,38,257,53,299,14,659,100,16,39,356,57,273,61,96,16,588=,36
291,302,xi’an jiaotong university,CN,China (Mainland),XL,FC,VH,4,A,21,406,42,222,17,701+,81,106,4,701+,4,701+,37,403,21,397,35,403=,36
=292,352=,norwegian university of science and technology,NO,Norway,XL,FC,VH,5,A,34,253,19,465,24,609,28,456,76,246,10,701+,89,91,51,129,66,223=,36
=292,303,university college cork,IE,Ireland,L,FC,VH,5,A,28,309,36,270,29,528,22,534,95,152,47,308,25,496,24,360,96,46,36
294,317=,université grenoble alpes,FR,France,XL,FC,VH,1,A,45,188,10,601+,8,701+,49,276,18,611,35,380,93,64,14,596,41,360=,36
=295,281=,hong kong baptist university,HK,Hong Kong SAR,M,CO,VH,3,A,19,458,13,601+,56,265,52,249,98,118,100,20,3,701+,15,557,17,574=,35
=295,342,university of east anglia (uea),UK,United Kingdom,L,FC,VH,4,A,19,466,9,601+,17,701+,66,164,68,287,38,360,65,218,13,678,84,123=,35
297,281=,georgetown university,US,United States,L,FC,VH,5,B,30,288,34,285,59,242,19,574,17,629,40,344,14,606,88,43,67,217=,35
298,308=,dalhousie university,CA,Canada,L,FC,VH,5,A,19,465,18,488,16,701+,42,323,99,97,75,187,37,399,22,385,94,61=,35
299,267=,rutgers university–new brunswick,US,United States,XL,CO,VH,5,A,37,234,25,386,49,324,18,583,19,602,33,395,60,245,21,403,96,47,35
300,284=,ucsi university,MY,Malaysia,M,CO,HI,2,C,23,392,58,140,73,174,3,701+,84,219,98,63,1,701+,16,528,25,495=,35
301,226=,southern university of science and technology,CN,China (Mainland),M,FO,VH,2,A,9,601+,2,601+,95,64,95,53,37,434,2,701+,7,701+,7,701+,7,701+,35
=302,328=,goethe-university frankfurt am main,DE,Germany,XL,FC,VH,5,A,44,189,29,335,21,638,21,539,41,402,26,468,82,134,12,701+,47,327=,35
=302,363=,virginia polytechnic institute and state university,US,United States,XL,FC,VH,5,A,26,337,40,232,19,701+,35,389,72,267,18,577,70,197,21,402,53,292=,35
=304,293=,jagiellonian university,PL,Poland,XL,FC,VH,5,A,37,233,47,188,65,210,6,701+,5,701+,13,655,59,248,28,289,58,259=,34
=304,243=,university of notre dame,US,United States,L,CO,VH,5,B,27,331,32,306,60,238,39,350,23,561,18,578,32,449,45,155,35,403=,34
306,412=,university of johannesburg,ZA,South Africa,L,CO,VH,2,A,16,540,21,434,37,430,21,549,96,135,51,286,97,32,44,165,74,182=,34
307,,daegu gyeongbuk institute of science and technology (dgist),KR,South Korea,S,FO,VH,2,A,10,601+,8,601+,89,90,100,7,5,701+,4,701+,1,701+,5,701+,0,,34
=307,425=,swansea university,UK,United Kingdom,L,FC,HI,5,A,21,418,45,193,24,608,27,460,73,261,54,271,59,254,11,701+,61,248,34
=307,361,universiti teknologi petronas (utp),MY,Malaysia,S,SP,,3,B,18,491,32,313,35,463,66,167,85,207,19,567,24,505,10,701+,3,701+,34
=307,293=,university of tasmania,AU,Australia,M,CO,VH,5,A,17,520,8,601+,18,701+,58,220,75,254,96,84,49,320,15,562,47,323=,34
=310,,hamad bin khalifa university,QA,Qatar,S,FO,VH,3,A,12,601+,4,601+,100,4,89,79,0,,0,,28,469,10,701+,0,,34
=310,233=,universitat pompeu fabra (barcelona),ES,Spain,M,FO,VH,3,A,31,282,23,417,13,701+,56,232,78,238,27,455,38,389,15,551,13,633,34
312,355=,universität stuttgart,DE,Germany,L,CO,VH,5,A,24,361,27,357,6,701+,65,177,37,430,50,296,37,405,19,430,34,411=,34
=313,339,indiana university bloomington,US,United States,XL,FC,VH,5,A,35,246,24,397,31,514,22,533,41,409,13,667,69,205,52,122,63,239=,34
=313,392=,university of oulu,FI,Finland,M,FC,VH,4,A,16,553,17,502,26,564,57,228,53,348,9,701+,75,168,17,511,88,103=,34
=315,363=,quaid-i-azam university,PK,Pakistan,M,CO,VH,4,A,16,552,40,234,3,701+,97,40,3,701+,1,701+,23,519,6,701+,23,514=,33
=315,270=,saint petersburg state university,RU,Russia,L,FC,VH,5,A,41,207,24,403,62,228,5,701+,5,701+,42,335,70,198,53,120,36,391=,33
=315,291,university of turku,FI,Finland,L,FC,VH,5,A,28,311,21,440,52,302,32,417,27,505,4,701+,63,227,28,291,78,163=,33
318,328=,simon fraser university,CA,Canada,L,CO,VH,4,A,26,343,14,600,6,701+,43,315,97,128,86,139,35,423,18,474,54,283=,33
=319,230,bauman moscow state technical university,RU,Russia,L,CO,VH,5,A,31,279,44,202,100,18,1,701+,54,343,59,256,1,701+,12,701+,11,663=,33
=319,259,sciences po,FR,France,L,SP,,5,A,18,502,28,353,88,94,3,701+,55,337,97,73,1,701+,76,55,55,279=,33
=319,320=,universidad carlos iii de madrid (uc3m),ES,Spain,L,FO,VH,3,A,33,265,49,177,53,290,5,701+,57,328,41,337,19,556,13,668,63,239=,33
322,359=,university of victoria (uvic),CA,Canada,L,CO,VH,4,A,17,514,8,601+,4,701+,65,174,95,149,49,304,19,551,12,701+,90,94,33
=323,267=,sun yat-sen university,CN,China (Mainland),XL,FC,VH,4,A,36,238,22,423,49,321,44,304,2,701+,4,701+,33,429,17,508,38,373=,33
=323,317=,university of illinois at chicago (uic),US,United States,XL,FC,VH,5,A,41,206,24,408,32,497,26,469,9,701+,17,586,50,312,32,242,63,235=,33
=326,363=,university of south australia,AU,Australia,L,CO,VH,3,A,23,390,14,580,22,625,33,415,100,80,45,322,59,256,15,544,82,137=,33
=326,347=,university of southern denmark (sdu),DK,Denmark,L,CO,VH,4,A,20,441,18,485,27,558,41,337,83,220,23,503,50,315,18,469,89,100,33
=328,355=,"city, university of london",UK,United Kingdom,L,CO,VH,5,A,21,405,18,483,7,701+,42,321,95,151,99,46,22,527,28,284,42,356,33
=328,288=,gwangju institute of science and technology (gist),KR,South Korea,S,FO,VH,3,A,17,513,9,601+,38,411,100,5,22,577,10,701+,1,701+,8,701+,2,701+,33
=328,300=,université paris 1 panthéon-sorbonne,FR,France,XL,FO,VH,5,A,65,104,25,385,4,701+,3,701+,38,421,46,314,30,458,32,238,16,588=,33
=328,240=,usi - università della svizzera italiana,CH,Switzerland,S,FO,VH,3,A,6,601+,4,601+,83,120,56,229,100,23,100,11,4,701+,8,701+,1,701+,33
=332,270=,kyung hee university,KR,South Korea,L,FC,VH,4,B,28,312,42,224,85,106,14,657,14,684,54,272,17,577,12,701+,34,413=,33
=332,375=,"university of california, santa cruz",US,United States,L,CO,VH,4,A,18,487,5,601+,7,701+,80,111,64,304,9,701+,19,547,11,701+,89,95=,33
334,380=,sharif university of technology,IR,"Iran, Islamic Republic of",M,FO,VH,4,A,10,601+,44,207,6,701+,99,19,7,701+,1,701+,10,675,26,321,2,701+,32
335,416=,university of naples - federico ii,IT,Italy,XL,FC,VH,5,A,35,245,17,508,4,701+,62,197,2,701+,1,701+,82,137,7,701+,35,403=,32
=336,330,aalborg university,DK,Denmark,L,FC,VH,3,A,20,442,22,424,32,500,42,317,76,244,18,570,79,151,15,569,36,393=,32
=336,363=,pontificia universidad católica del perú,PE,Peru,L,FO,VH,5,B,46,177,77,75,26,572,2,701+,4,701+,1,701+,3,701+,35,214,31,428=,32
=336,375=,university of kent,UK,United Kingdom,L,CO,VH,4,A,17,522,7,601+,13,701+,44,306,97,133,73,195,43,354,20,413,85,118=,32
=340,355=,beijing institute of technology,CN,China (Mainland),L,FO,VH,4,A,23,385,18,484,41,381,76,125,3,701+,4,701+,17,572,14,599,24,506=,32
=340,362,george washington university,US,United States,L,FC,VH,5,B,27,323,25,393,28,541,29,439,32,478,28,444,61,239,50,135,63,235=,32
342,295,rudn university,RU,Russia,L,FC,VH,4,A,22,395,45,192,92,74,2,701+,8,701+,93,103,60,242,12,701+,4,701+,32
343,412=,brunel university london,UK,United Kingdom,L,CO,VH,4,A,11,601+,13,601+,8,701+,44,303,100,84,100,39,57,269,19,450,63,235=,32
=345,369=,airlangga university,ID,Indonesia,L,FC,HI,4,A,34,254,73,95,52,301,1,701+,45,379,6,701+,1,701+,14,582,31,444=,32
=345,473=,university of saskatchewan,CA,Canada,L,FC,VH,5,A,12,601+,7,601+,17,701+,54,237,70,279,52,280,47,331,21,396,95,56,32
=347,422=,national technical university of athens,GR,Greece,L,FO,VH,5,A,21,425,43,215,5,701+,72,137,1,701+,4,701+,32,447,32,240,8,701+,31
=347,382=,pontificia universidad javeriana,CO,Colombia,L,FC,HI,5,B,43,198,73,94,23,619,2,701+,4,701+,3,701+,4,701+,57,107,29,456=,31
=349,488=,universidad politécnica de madrid (upm),ES,Spain,XL,SP,,4,A,31,280,49,176,15,701+,11,701+,3,701+,31,416,60,243,37,196,84,128=,31
=349,404,university of pisa,IT,Italy,L,FC,VH,5,A,40,211,13,601+,8,701+,41,333,6,701+,4,701+,68,209,13,642,74,182=,31
=351,388=,lappeenranta-lahti university of technology lut,FI,Finland,S,SP,,4,A,7,601+,13,601+,11,701+,98,36,45,378,18,573,15,599,11,701+,39,367=,31
=351,438=,university of coimbra,PT,Portugal,L,FC,VH,5,A,29,304,13,601+,11,701+,42,329,11,701+,38,364,79,153,16,537,80,154,31
353,456,york university,CA,Canada,XL,CO,VH,4,A,23,377,21,441,5,701+,29,440,51,356,81,157,28,471,53,119,81,144,31
354,343=,universitat politècnica de catalunya · barcelonatech (upc),ES,Spain,L,FO,VH,4,A,32,274,22,426,41,380,22,524,8,701+,21,532,73,183,15,556,73,186,31
=355,277,l.n. gumilyov eurasian national university (enu),KZ,Kazakhstan,L,FO,VH,3,A,30,293,52,157,97,53,1,701+,59,319,6,701+,1,701+,11,701+,10,678=,31
=355,406=,sichuan university,CN,China (Mainland),XL,FC,VH,3,A,20,436,8,601+,11,701+,95,55,7,701+,5,701+,26,490,15,564,19,555=,31
=355,312=,university of tsukuba,JP,Japan,L,FC,VH,4,A,36,242,24,402,59,243,19,569,14,691,21,529,32,450,12,701+,58,259=,31
=358,460,university of florence,IT,Italy,XL,FC,VH,5,A,34,259,6,601+,4,701+,50,266,8,701+,11,701+,73,181,17,476,81,142=,31
=358,296=,university of tartu,EE,Estonia,M,FC,VH,5,A,24,355,9,601+,92,78,12,701+,47,372,22,513,74,177,42,171,28,471=,31
=360,396=,shandong university,CN,China (Mainland),XL,FC,VH,4,A,16,558,32,310,18,701+,79,118,9,701+,3,701+,16,580,17,480,28,463=,31
=362,368,lincoln university,NZ,New Zealand,S,CO,VH,3,A,8,601+,5,601+,40,393,52,253,100,62,91,113,1,701+,32,241,38,379=,31
=362,308=,universität innsbruck,AT,Austria,L,FC,HI,5,A,20,433,7,601+,69,187,11,701+,100,65,100,27,33,434,36,208,17,586=,31
=364,369=,american university of sharjah,AE,United Arab Emirates,S,CO,VH,3,B,20,438,39,243,21,653,20,559,100,2,100,6,6,701+,37,202,3,701+,30
=364,384=,indian institute of technology guwahati (iitg),IN,India,M,CO,VH,3,A,17,523,25,381,8,701+,98,32,3,701+,1,701+,6,701+,6,701+,4,701+,30
=364,475=,university of turin,IT,Italy,XL,FC,VH,5,A,40,213,6,601+,3,701+,37,380,5,701+,5,701+,69,199,33,236,84,123=,30
367,334,national university of sciences and technology (nust) islamabad,PK,Pakistan,M,CO,VH,3,A,19,472,73,93,77,151,12,701+,3,701+,4,701+,24,512,9,701+,31,438=,30
368,473=,university of cyprus (ucy),CY,Cyprus,M,CO,VH,3,A,9,601+,3,601+,5,701+,78,123,93,165,25,471,56,279,19,448,24,497=,30
=369,369=,indian institute of technology roorkee (iitr),IN,India,M,FO,VH,5,A,18,500,23,421,8,701+,91,72,1,701+,2,701+,4,701+,11,701+,28,471=,30
=369,246=,yeshiva university,US,United States,M,FC,VH,5,B,3,601+,3,601+,75,167,100,14,0,,9,701+,4,701+,10,701+,1,701+,30
=371,398=,tilburg university,NL,Netherlands,L,FO,VH,4,A,15,573,33,294,10,701+,44,302,97,131,58,259,9,683,14,602,31,432=,30
